ruleId,name,shortDescription,fullDescription,enabled,level,tags,description,kind,precision,problem.severity,security-severity,sub-severity
py/use-of-input,py/use-of-input,'input' function used in Python 2,"The built-in function 'input' is used which, in Python 2, can allow arbitrary code to be run.",true,error,"security, correctness, security/cwe/cwe-94, security/cwe/cwe-95","The built-in function 'input' is used which, in Python 2, can allow arbitrary code to be run.",problem,high,error,9.8,high
py/bind-socket-all-network-interfaces,py/bind-socket-all-network-interfaces,Binding a socket to all network interfaces,Binding a socket to all interfaces opens it up to traffic from any IPv4 address and is therefore associated with security risks.,true,error,"security, external/cwe/cwe-200","Binding a socket to all interfaces opens it up to traffic from any IPv4 address
 and is therefore associated with security risks.",problem,high,error,6.5,low
py/incomplete-hostname-regexp,py/incomplete-hostname-regexp,Incomplete regular expression for hostnames,Matching a URL or hostname against a regular expression that contains an unescaped dot as part of the hostname might match more hostnames than expected.,true,warning,"correctness, security, external/cwe/cwe-020",Matching a URL or hostname against a regular expression that contains an unescaped dot as part of the hostname might match more hostnames than expected.,problem,high,warning,7.8,
py/incomplete-url-substring-sanitization,py/incomplete-url-substring-sanitization,Incomplete URL substring sanitization,Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.,true,warning,"correctness, security, external/cwe/cwe-20",Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.,problem,high,warning,7.8,
py/overly-large-range,py/overly-large-range,Overly permissive regular expression range,Overly permissive regular expression ranges match a wider range of characters than intended. This may allow an attacker to bypass a filter or sanitizer.,true,warning,"correctness, security, external/cwe/cwe-020","Overly permissive regular expression ranges match a wider range of characters than intended.
              This may allow an attacker to bypass a filter or sanitizer.",problem,high,warning,5.0,
py/path-injection,py/path-injection,Uncontrolled data used in path expression,Accessing paths influenced by users can allow an attacker to access unexpected resources.,true,error,"correctness, security, external/cwe/cwe-022, external/cwe/cwe-023, external/cwe/cwe-036, external/cwe/cwe-073, external/cwe/cwe-099",Accessing paths influenced by users can allow an attacker to access unexpected resources.,path-problem,high,error,7.5,high
py/command-line-injection,py/command-line-injection,Uncontrolled command line,Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.,true,error,"correctness, security, external/cwe/cwe-078, external/cwe/cwe-088","Using externally controlled strings in a command line may allow a malicious
              user to change the meaning of the command.",path-problem,high,error,9.8,high
py/reflective-xss,py/reflective-xss,Reflected server-side cross-site scripting,Writing user input directly to a web page allows for a cross-site scripting vulnerability.,true,error,"security, external/cwe/cwe-079, external/cwe/cwe-116","Writing user input directly to a web page
              allows for a cross-site scripting vulnerability.",path-problem,high,error,6.1,high
py/sql-injection,py/sql-injection,SQL query built from user-controlled sources,Building a SQL query from user-controlled sources is vulnerable to insertion of malicious SQL code by the user.,true,error,"security, external/cwe/cwe-089","Building a SQL query from user-controlled sources is vulnerable to insertion of
              malicious SQL code by the user.",path-problem,high,error,8.8,
py/ldap-injection,py/ldap-injection,LDAP query built from user-controlled sources,Building an LDAP query from user-controlled sources is vulnerable to insertion of malicious LDAP code by the user.,true,error,"security, external/cwe/cwe-090","Building an LDAP query from user-controlled sources is vulnerable to insertion of
              malicious LDAP code by the user.",path-problem,high,error,9.8,
py/code-injection,py/code-injection,Code injection,Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.,true,error,"security, external/cwe/cwe-094, external/cwe/cwe-095, external/cwe/cwe-116","Interpreting unsanitized user input as code allows a malicious user to perform arbitrary
              code execution.",path-problem,high,error,9.3,high
py/bad-tag-filter,py/bad-tag-filter,Bad HTML filtering regexp,"Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.",true,warning,"correctness, security, external/cwe/cwe-116, external/cwe/cwe-020, external/cwe/cwe-185, external/cwe/cwe-186","Matching HTML tags using regular expressions is hard to do right, and can easily lead to security issues.",problem,high,warning,7.8,
py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",true,error,"security, external/cwe/cwe-209, external/cwe/cwe-497","Leaking information about an exception, such as messages and stack traces, to an
              external user can expose implementation details that are useful to an attacker for
              developing a subsequent exploit.",path-problem,high,error,5.4,
py/flask-debug,py/flask-debug,Flask app is run in debug mode,Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.,true,error,"security, external/cwe/cwe-215, external/cwe/cwe-489",Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.,problem,high,error,7.5,
py/pam-auth-bypass,py/pam-auth-bypass,PAM authorization bypass due to incorrect usage,Not using `pam_acct_mgmt` after `pam_authenticate` to check the validity of a login can lead to authorization bypass.,true,warning,"security, external/cwe/cwe-285",Not using `pam_acct_mgmt` after `pam_authenticate` to check the validity of a login can lead to authorization bypass.,path-problem,high,warning,8.1,
py/paramiko-missing-host-key-validation,py/paramiko-missing-host-key-validation,Accepting unknown SSH host keys when using Paramiko,Accepting unknown host keys can allow man-in-the-middle attacks.,true,error,"security, external/cwe/cwe-295",Accepting unknown host keys can allow man-in-the-middle attacks.,problem,high,error,7.5,
py/clear-text-logging-sensitive-data,py/clear-text-logging-sensitive-data,Clear-text logging of sensitive information,Logging sensitive information without encryption or hashing can expose it to an attacker.,true,error,"security, external/cwe/cwe-312, external/cwe/cwe-359, external/cwe/cwe-532","Logging sensitive information without encryption or hashing can
              expose it to an attacker.",path-problem,high,error,7.5,
py/clear-text-storage-sensitive-data,py/clear-text-storage-sensitive-data,Clear-text storage of sensitive information,Sensitive information stored without encryption or hashing can expose it to an attacker.,true,error,"security, external/cwe/cwe-312, external/cwe/cwe-315, external/cwe/cwe-359","Sensitive information stored without encryption or hashing can expose it to an
              attacker.",path-problem,high,error,7.5,
py/weak-crypto-key,py/weak-crypto-key,Use of weak cryptographic key,Use of a cryptographic key that is too small may allow the encryption to be broken.,true,error,"security, external/cwe/cwe-326",Use of a cryptographic key that is too small may allow the encryption to be broken.,problem,high,error,7.5,
py/weak-cryptographic-algorithm,py/weak-cryptographic-algorithm,Use of a broken or weak cryptographic algorithm,Using broken or weak cryptographic algorithms can compromise security.,true,warning,"security, external/cwe/cwe-327",Using broken or weak cryptographic algorithms can compromise security.,problem,high,warning,7.5,
py/insecure-default-protocol,py/insecure-default-protocol,Default version of SSL/TLS may be insecure,Leaving the SSL/TLS version unspecified may result in an insecure default protocol being used.,true,warning,"security, external/cwe/cwe-327","Leaving the SSL/TLS version unspecified may result in an insecure
              default protocol being used.",problem,high,warning,7.5,
py/insecure-protocol,py/insecure-protocol,Use of insecure SSL/TLS version,Using an insecure SSL/TLS version may leave the connection vulnerable to attacks.,true,warning,"security, external/cwe/cwe-327",Using an insecure SSL/TLS version may leave the connection vulnerable to attacks.,problem,high,warning,7.5,
py/weak-sensitive-data-hashing,py/weak-sensitive-data-hashing,Use of a broken or weak cryptographic hashing algorithm on sensitive data,Using broken or weak cryptographic hashing algorithms can compromise security.,true,warning,"security, external/cwe/cwe-327, external/cwe/cwe-328, external/cwe/cwe-916",Using broken or weak cryptographic hashing algorithms can compromise security.,path-problem,high,warning,7.5,
py/csrf-protection-disabled,py/csrf-protection-disabled,CSRF protection weakened or disabled,Disabling or weakening CSRF protection may make the application vulnerable to a Cross-Site Request Forgery (CSRF) attack.,true,warning,"security, external/cwe/cwe-352","Disabling or weakening CSRF protection may make the application
              vulnerable to a Cross-Site Request Forgery (CSRF) attack.",problem,high,warning,8.8,
py/insecure-temporary-file,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,true,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/unsafe-deserialization,py/unsafe-deserialization,Deserialization of user-controlled data,Deserializing user-controlled data may allow attackers to execute arbitrary code.,true,error,"external/cwe/cwe-502, security, serialization",Deserializing user-controlled data may allow attackers to execute arbitrary code.,path-problem,high,error,9.8,high
py/url-redirection,py/url-redirection,URL redirection from remote source,URL redirection based on unvalidated user input may cause redirection to malicious web sites.,true,error,"security, external/cwe/cwe-601","URL redirection based on unvalidated user input
              may cause redirection to malicious web sites.",path-problem,high,error,6.1,low
py/xxe,py/xxe,XML external entity expansion,Parsing user input as an XML document with external entity expansion is vulnerable to XXE attacks.,true,error,"security, external/cwe/cwe-611, external/cwe/cwe-827","Parsing user input as an XML document with external
              entity expansion is vulnerable to XXE attacks.",path-problem,high,error,9.1,
py/xpath-injection,py/xpath-injection,XPath query built from user-controlled sources,Building a XPath query from user-controlled sources is vulnerable to insertion of malicious Xpath code by the user.,true,error,"security, external/cwe/cwe-643","Building a XPath query from user-controlled sources is vulnerable to insertion of
              malicious Xpath code by the user.",path-problem,high,error,9.8,
py/polynomial-redos,py/polynomial-redos,Polynomial regular expression used on uncontrolled data,A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.,true,warning,"security, external/cwe/cwe-1333, external/cwe/cwe-730, external/cwe/cwe-400","A regular expression that can require polynomial time
              to match may be vulnerable to denial-of-service attacks.",path-problem,high,warning,7.5,
py/redos,py/redos,Inefficient regular expression,"A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.",true,error,"security, external/cwe/cwe-1333, external/cwe/cwe-730, external/cwe/cwe-400","A regular expression that requires exponential time to match certain inputs
              can be a performance bottleneck, and may be vulnerable to denial-of-service
              attacks.",problem,high,error,7.5,
py/regex-injection,py/regex-injection,Regular expression injection,"User input should not be used in regular expressions without first being escaped, otherwise a malicious user may be able to inject an expression that could require exponential time on certain inputs.",true,error,"security, external/cwe/cwe-730, external/cwe/cwe-400","User input should not be used in regular expressions without first being escaped,
              otherwise a malicious user may be able to inject an expression that could require
              exponential time on certain inputs.",path-problem,high,error,7.5,
py/xml-bomb,py/xml-bomb,XML internal entity expansion,Parsing user input as an XML document with arbitrary internal entity expansion is vulnerable to denial-of-service attacks.,true,warning,"security, external/cwe/cwe-776, external/cwe/cwe-400","Parsing user input as an XML document with arbitrary internal
              entity expansion is vulnerable to denial-of-service attacks.",path-problem,high,warning,7.5,
py/full-ssrf,py/full-ssrf,Full server-side request forgery,Making a network request to a URL that is fully user-controlled allows for request forgery attacks.,true,error,"security, external/cwe/cwe-918",Making a network request to a URL that is fully user-controlled allows for request forgery attacks.,path-problem,high,error,9.1,
py/nosql-injection,py/nosql-injection,NoSQL Injection,Building a NoSQL query from user-controlled sources is vulnerable to insertion of malicious NoSQL code by the user.,true,error,"security, external/cwe/cwe-943","Building a NoSQL query from user-controlled sources is vulnerable to insertion of
              malicious NoSQL code by the user.",path-problem,high,error,8.8,
py/tarslip,py/tarslip,Arbitrary file write during tarfile extraction,Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.,true,error,"security, external/cwe/cwe-022","Extracting files from a malicious tar archive without validating that the
              destination file path is within the destination directory can cause files outside
              the destination directory to be overwritten.",path-problem,medium,error,7.5,
py/shell-command-constructed-from-input,py/shell-command-constructed-from-input,Unsafe shell command constructed from library input,Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.,true,error,"correctness, security, external/cwe/cwe-078, external/cwe/cwe-088, external/cwe/cwe-073","Using externally controlled strings in a command line may allow a malicious
              user to change the meaning of the command.",path-problem,medium,error,6.3,
py/jinja2/autoescape-false,py/jinja2/autoescape-false,Jinja2 templating with autoescape=False,Using jinja2 templates with 'autoescape=False' can cause a cross-site scripting vulnerability.,true,error,"security, external/cwe/cwe-079","Using jinja2 templates with 'autoescape=False' can
              cause a cross-site scripting vulnerability.",problem,medium,error,6.1,
py/log-injection,py/log-injection,Log Injection,Building log entries from user-controlled data is vulnerable to insertion of forged log entries by a malicious user.,true,error,"security, external/cwe/cwe-117","Building log entries from user-controlled data is vulnerable to
              insertion of forged log entries by a malicious user.",path-problem,medium,error,7.8,
py/request-without-cert-validation,py/request-without-cert-validation,Request without certificate validation,Making a request without certificate validation can allow man-in-the-middle attacks.,true,error,"security, external/cwe/cwe-295",Making a request without certificate validation can allow man-in-the-middle attacks.,problem,medium,error,7.5,
py/overly-permissive-file,py/overly-permissive-file,Overly permissive file permissions,Allowing files to be readable or writable by users other than the owner may allow sensitive information to be accessed.,true,warning,"external/cwe/cwe-732, security",Allowing files to be readable or writable by users other than the owner may allow sensitive information to be accessed.,problem,medium,warning,7.8,high
py/hardcoded-credentials,py/hardcoded-credentials,Hard-coded credentials,Credentials are hard coded in the source code of the application.,true,error,"security, external/cwe/cwe-259, external/cwe/cwe-321, external/cwe/cwe-798",Credentials are hard coded in the source code of the application.,path-problem,medium,error,9.8,
py/partial-ssrf,py/partial-ssrf,Partial server-side request forgery,Making a network request to a URL that is partially user-controlled allows for request forgery attacks.,true,error,"security, external/cwe/cwe-918",Making a network request to a URL that is partially user-controlled allows for request forgery attacks.,path-problem,medium,error,9.1,
py/summary/lines-of-code,py/summary/lines-of-code,Total lines of Python code in the database,"The total number of lines of Python code across all files, including external libraries and auto-generated files. This is a useful metric of the size of a database. This query counts the lines of code, excluding whitespace or comments.",true,,"summary, telemetry","The total number of lines of Python code across all files, including
   external libraries and auto-generated files. This is a useful metric of the size of a
   database. This query counts the lines of code, excluding whitespace or comments.",metric,,,,
py/summary/lines-of-user-code,py/summary/lines-of-user-code,Total lines of user written Python code in the database,"The total number of lines of Python code from the source code directory, excluding auto-generated files. This query counts the lines of code, excluding whitespace or comments. Note: If external libraries are included in the codebase either in a checked-in virtual environment or as vendored code, that will currently be counted as user written code.",true,,"summary, lines-of-code","The total number of lines of Python code from the source code directory,
   excluding auto-generated files. This query counts the lines of code, excluding
   whitespace or comments. Note: If external libraries are included in the codebase
   either in a checked-in virtual environment or as vendored code, that will currently
   be counted as user written code.",metric,,,,
