ruleId,ruleIndex,message_text,uri,uriBaseId,index,startLine,startColumn,endColumn,name,shortDescription,fullDescription,enabled,level,tags,description,kind,precision,problem.severity,security-severity,sub-severity
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/compiler/mlir/tensorflow/tests/tf_saved_model/common_v1.py,%SRCROOT%,0,91,25,63,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/tarslip,35,"This file extraction depends on a [potentially untrusted source](1).
This file extraction depends on a [potentially untrusted source](1).",tensorflow/python/keras/utils/data_utils.py,%SRCROOT%,1,135,11,18,py/tarslip,Arbitrary file write during tarfile extraction,Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.,True,error,"security, external/cwe/cwe-022","Extracting files from a malicious tar archive without validating that the
              destination file path is within the destination directory can cause files outside
              the destination directory to be overwritten.",path-problem,medium,error,7.5,
py/tarslip,35,This file extraction depends on a [potentially untrusted source](1).,tensorflow/examples/speech_commands/input_data.py,%SRCROOT%,2,240,7,37,py/tarslip,Arbitrary file write during tarfile extraction,Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.,True,error,"security, external/cwe/cwe-022","Extracting files from a malicious tar archive without validating that the
              destination file path is within the destination directory can cause files outside
              the destination directory to be overwritten.",path-problem,medium,error,7.5,
py/overly-permissive-file,40,Overly permissive mask in chmod sets file to world readable.,tensorflow/tools/pip_package/v2/utils/utils.py,%SRCROOT%,3,78,3,47,py/overly-permissive-file,Overly permissive file permissions,Allowing files to be readable or writable by users other than the owner may allow sensitive information to be accessed.,True,warning,"external/cwe/cwe-732, security",Allowing files to be readable or writable by users other than the owner may allow sensitive information to be accessed.,problem,medium,warning,7.8,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/compiler/mlir/tensorflow/tests/tf_saved_model/common_v1.py,%SRCROOT%,0,91,25,63,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/tarslip,35,"This file extraction depends on a [potentially untrusted source](1).
This file extraction depends on a [potentially untrusted source](1).",tensorflow/python/keras/utils/data_utils.py,%SRCROOT%,1,135,11,18,py/tarslip,Arbitrary file write during tarfile extraction,Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.,True,error,"security, external/cwe/cwe-022","Extracting files from a malicious tar archive without validating that the
              destination file path is within the destination directory can cause files outside
              the destination directory to be overwritten.",path-problem,medium,error,7.5,
py/tarslip,35,This file extraction depends on a [potentially untrusted source](1).,tensorflow/examples/speech_commands/input_data.py,%SRCROOT%,2,240,7,37,py/tarslip,Arbitrary file write during tarfile extraction,Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.,True,error,"security, external/cwe/cwe-022","Extracting files from a malicious tar archive without validating that the
              destination file path is within the destination directory can cause files outside
              the destination directory to be overwritten.",path-problem,medium,error,7.5,
py/overly-permissive-file,40,Overly permissive mask in chmod sets file to world readable.,tensorflow/tools/pip_package/utils/utils.py,%SRCROOT%,3,78,3,47,py/overly-permissive-file,Overly permissive file permissions,Allowing files to be readable or writable by users other than the owner may allow sensitive information to be accessed.,True,warning,"external/cwe/cwe-732, security",Allowing files to be readable or writable by users other than the owner may allow sensitive information to be accessed.,problem,medium,warning,7.8,high
py/bind-socket-all-network-interfaces,1,'' binds a socket to all interfaces.,tensorflow/contrib/opt/python/training/variable_clipping_optimizer_test.py,%SRCROOT%,0,42,7,22,py/bind-socket-all-network-interfaces,Binding a socket to all network interfaces,Binding a socket to all interfaces opens it up to traffic from any IPv4 address and is therefore associated with security risks.,True,error,"security, external/cwe/cwe-200","Binding a socket to all interfaces opens it up to traffic from any IPv4 address
 and is therefore associated with security risks.",problem,high,error,6.5,low
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/curses_ui_test.py,%SRCROOT%,1,88,27,44,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/curses_ui_test.py,%SRCROOT%,1,1223,19,36,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/curses_ui_test.py,%SRCROOT%,1,1260,19,36,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/lib/debug_data_test.py,%SRCROOT%,2,193,23,40,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/lib/debug_data_test.py,%SRCROOT%,2,202,31,48,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/debugger_cli_common_test.py,%SRCROOT%,3,253,17,34,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/debugger_cli_common_test.py,%SRCROOT%,3,925,31,48,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/wrappers/local_cli_wrapper.py,%SRCROOT%,4,76,25,66,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/wrappers/local_cli_wrapper_test.py,%SRCROOT%,5,103,21,38,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/readline_ui_test.py,%SRCROOT%,6,149,19,36,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/lib/source_utils_test.py,%SRCROOT%,7,223,29,46,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/tarslip,35,"This file extraction depends on a [potentially untrusted source](1).
This file extraction depends on a [potentially untrusted source](1).",tensorflow/contrib/keras/python/keras/utils/data_utils.py,%SRCROOT%,8,112,11,18,py/tarslip,Arbitrary file write during tarfile extraction,Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.,True,error,"security, external/cwe/cwe-022","Extracting files from a malicious tar archive without validating that the
              destination file path is within the destination directory can cause files outside
              the destination directory to be overwritten.",path-problem,medium,error,7.5,
py/tarslip,35,This file extraction depends on a [potentially untrusted source](1).,tensorflow/examples/image_retraining/retrain.py,%SRCROOT%,9,305,3,33,py/tarslip,Arbitrary file write during tarfile extraction,Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.,True,error,"security, external/cwe/cwe-022","Extracting files from a malicious tar archive without validating that the
              destination file path is within the destination directory can cause files outside
              the destination directory to be overwritten.",path-problem,medium,error,7.5,
py/tarslip,35,This file extraction depends on a [potentially untrusted source](1).,tensorflow/contrib/learn/python/learn/datasets/text_datasets.py,%SRCROOT%,10,41,5,10,py/tarslip,Arbitrary file write during tarfile extraction,Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.,True,error,"security, external/cwe/cwe-022","Extracting files from a malicious tar archive without validating that the
              destination file path is within the destination directory can cause files outside
              the destination directory to be overwritten.",path-problem,medium,error,7.5,
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/compiler/mlir/tensorflow/tests/tf_saved_model/common.py,%SRCROOT%,0,82,25,63,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/compiler/mlir/tensorflow/tests/tf_saved_model/common_v1.py,%SRCROOT%,1,71,25,63,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/curses_ui_test.py,%SRCROOT%,2,94,27,44,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/curses_ui_test.py,%SRCROOT%,2,1223,19,36,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/curses_ui_test.py,%SRCROOT%,2,1260,19,36,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/lib/debug_data_test.py,%SRCROOT%,3,154,23,40,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/lib/debug_data_test.py,%SRCROOT%,3,186,31,48,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/examples/v1/debug_errors.py,%SRCROOT%,4,48,9,41,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/examples/v1/debug_keras.py,%SRCROOT%,5,48,9,41,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/examples/v1/debug_mnist_v1.py,%SRCROOT%,6,218,9,41,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/examples/v1/debug_tflearn_iris.py,%SRCROOT%,7,66,9,41,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/debugger_cli_common_test.py,%SRCROOT%,8,256,17,34,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/cli/debugger_cli_common_test.py,%SRCROOT%,8,933,31,48,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/keras/distribute/keras_utils_test.py,%SRCROOT%,9,532,24,46,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/keras/distribute/keras_utils_test.py,%SRCROOT%,9,568,24,41,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/saved_model/load_test.py,%SRCROOT%,10,197,16,59,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/wrappers/local_cli_wrapper.py,%SRCROOT%,11,87,25,66,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
py/insecure-temporary-file,24,Call to deprecated function tempfile.mktemp may be insecure.,tensorflow/python/debug/wrappers/local_cli_wrapper_test.py,%SRCROOT%,12,142,21,38,py/insecure-temporary-file,Insecure temporary file,Creating a temporary file using this method may be insecure.,True,error,"external/cwe/cwe-377, security",Creating a temporary file using this method may be insecure.,problem,high,error,7.0,high
